"","Player's name","Total Points","Total Rebounds","Assists","Steals","Blocks","Missed Field goals","Missed Free Throws","Turnovers","Games Played","Efficiency Index","Salary","Position"
"452","Shelvin Mack",355,106,149,26,3,178,13,81,28,5.66351722778365,2433333,"PG"
"453","Trey Burke",679,112,148,35,6,372,15,80,64,3.40011027058048,2658240,"PG"
"454","Darren Collison",1035,169,318,76,4,399,32,130,74,4.59737993447269,5013559,"PG"
"455","Rajon Rondo",859,435,839,141,10,427,63,278,72,8.52266327594122,9500000,"PG"
"456","Seth Curry",299,60,67,22,3,122,9,36,44,2.27318788529349,947276,"PG"
"457","D.J. Augustin",325,52,132,25,2,127,17,54,28,4.42966302847314,3000000,"PG"
"458","Emmanuel Mudiay",872,232,372,65,35,576,69,217,68,7.02003549207599,3102240,"PG"
"459","Jameer Nelson",299,115,190,25,5,194,5,66,39,4.00107053832602,4500000,"PG"
"460","Jrue Holiday",1089,195,391,88,22,525,34,167,65,6.57582965886641,10595507,"PG"
"461","Nate Robinson",0,0,4,1,0,1,0,0,2,0.707868844318044,44000,"PG"
"462","Norris Cole",477,151,167,37,5,288,13,75,45,4.51243929236789,3036927,"PG"
"463","Toney Douglas",531,143,157,70,5,262,15,64,61,3.57924878267045,1164858,"PG"
"464","Ricky Rubio",766,326,658,162,10,367,48,193,76,6.75975852870572,12365000,"PG"
"465","Tyus Jones",156,47,108,31,3,100,11,33,37,2.64258301602634,1282080,"PG"
"466","Archie Goodwin",505,142,118,27,13,246,63,100,57,4.24922882536617,1160160,"PG"
"467","Eric Bledsoe",632,125,190,63,19,269,34,110,31,8.81161592340582,13086957,"PG"
"468","Lorenzo Brown",20,7,11,3,1,17,1,9,8,1.83242524267606,111444,"PG"
"469","Ronnie Price",331,99,147,74,13,186,10,70,62,3.14933910245181,1499187,"PG"
"470","D'Angelo Russell",1054,274,266,93,13,564,50,196,80,5.57839232229558,5103120,"PG"
"471","Marcelo Huertas",237,90,182,26,7,133,2,80,53,2.69450333144474,525093,"PG"
